time_s,wheel_speed,raw_weight,velocity,pitch,roll,acc,acc_z
29:06.8,0,14594,0,-0.5,0.7,0.1,9.8
29:06.9,0,14594,0,-0.5,0.7,0,9.8
29:07.0,0,14594,0,-0.5,0.6,-0.1,9.8
29:07.1,0,14594,0,-0.5,0.6,0,9.8
29:07.2,0,14591,0,-0.5,0.6,0,9.8
29:07.3,0,14591,0,-0.5,0.6,0.1,9.8
29:07.4,0,14592,0,-0.5,0.6,-0.1,9.8
29:07.5,0,14592,0,-0.5,0.6,0,9.8
29:07.6,0,14590,0,-0.5,0.6,0,9.8
29:07.7,0,14587,0,-0.5,0.6,0,9.8
29:07.8,0,14587,0,-0.5,0.6,0.1,9.8
29:07.9,0,14586,0,-0.5,0.6,-0.1,9.8
29:08.0,0,14586,0,-0.5,0.6,0,9.8
29:08.1,0,14590,0,-0.5,0.6,0.1,9.8
29:08.2,0,14592,0,-0.5,0.6,-0.1,9.8
29:08.3,0,14593,0,-0.5,0.6,0,9.8
29:08.4,0,14592,0,-0.5,0.6,0,9.8
29:08.5,0,14590,0,-0.5,0.6,0,9.8
29:08.6,0,14592,0,-0.5,0.6,0,9.8
29:08.7,0,14594,0,-0.5,0.6,0,9.8
29:08.8,0,14594,0,-0.5,0.6,0,9.8
29:08.9,0,14595,0,-0.5,0.6,0,9.8
29:09.0,0,14596,0,-0.5,0.6,0,9.8
29:09.1,0,14596,0,-0.5,0.6,0,9.8
29:09.2,0,14595,0,-0.5,0.6,0.1,9.8
29:09.3,0,14598,0,-0.5,0.6,0,9.8
29:09.4,0,14597,0,-0.5,0.6,-0.1,9.8
29:09.5,0,14598,0,-0.5,0.6,0,9.8
29:09.6,0,14595,0,-0.5,0.6,0,9.8
29:09.7,0,14592,0,-0.5,0.6,0,9.8
29:09.8,0,14590,0,-0.5,0.6,0,9.8
29:09.9,0,14588,0,-0.5,0.6,0,9.8
29:10.0,0,14591,0,-0.5,0.6,0,9.8
29:10.1,0,14593,0,-0.5,0.7,0,9.8
29:10.2,0,14594,0,-0.5,0.7,0,9.8
29:10.3,0,14593,0,-0.5,0.6,0,9.8
29:10.4,0,14594,0,-0.5,0.6,0,9.8
29:10.5,0,14593,0,-0.5,0.6,0,9.8
29:10.6,0,14592,0,-0.5,0.7,0,9.8
29:10.7,0,14592,0,-0.5,0.7,0,9.8
29:10.8,0,14593,0,-0.5,0.7,0,9.8
29:10.9,0,14596,0,-0.5,0.7,0,9.8
29:11.0,0,14595,0,-0.5,0.6,0,9.8
29:11.1,0,14595,0,-0.5,0.6,0.1,9.8
29:11.2,0,14594,0,-0.5,0.7,-0.1,9.8
29:11.3,0,14593,0,-0.5,0.7,0,9.8
29:11.4,0,14594,0,-0.5,0.7,0,9.8
29:11.5,0,14592,0,-0.5,0.7,0,9.8
29:11.6,0,14595,0,-0.5,0.7,0,9.8
29:11.7,0,14595,0,-0.5,0.7,0,9.8
29:11.8,0,14595,0,-0.5,0.7,0,9.8
29:11.9,0,14593,0,-0.5,0.7,0,9.8
29:12.0,0,14594,0,-0.5,0.7,0,9.8
29:12.1,0,14595,0,-0.5,0.7,0,9.8
29:12.2,0,14597,0,-0.5,0.7,0,9.8
29:12.3,0,14597,0,-0.5,0.7,0,9.8
29:12.4,0,14598,0,-0.5,0.7,0,9.8
29:12.5,0,14598,0,-0.5,0.7,0,9.8
29:12.7,0,14598,0,-0.5,0.7,0,9.8
29:12.8,0,14599,0,-0.5,0.6,0,9.8
29:12.9,0,14597,0,-0.5,0.6,0.1,9.8
29:13.0,0,14593,0,-0.5,0.6,-0.1,9.8
29:13.1,0,14593,0,-0.5,0.6,0,9.8
29:13.2,0,14593,0,-0.5,0.6,0.1,9.8
29:13.3,0,14595,0,-0.5,0.6,-0.1,9.8
29:13.4,0,14592,0,-0.5,0.6,0,9.8
29:13.5,0,14592,0,-0.5,0.6,0,9.8
29:13.6,0,14594,0,-0.5,0.6,0,9.8
29:13.7,0,14594,0,-0.5,0.6,0.1,9.8
29:13.8,0,14594,0,-0.5,0.6,0,9.8
29:13.9,0,14593,0,-0.5,0.6,-0.1,9.8
29:14.0,0,14594,0,-0.5,0.6,0,9.8
29:14.1,0,14597,0,-0.5,0.6,0,9.8
29:14.2,0,14597,0,-0.5,0.6,0,9.8
29:14.3,0,14594,0,-0.5,0.6,0,9.8
29:14.4,0,14595,0,-0.5,0.6,0,9.8
29:14.5,0,14595,0,-0.5,0.6,0.1,9.8
29:14.6,0,14595,0,-0.5,0.6,-0.1,9.8
29:14.7,0,14595,0,-0.5,0.6,0,9.8
29:14.8,0,14595,0,-0.5,0.6,0,9.8
29:14.9,0,14593,0,-0.5,0.6,0.1,9.8
29:15.0,0,14594,0,-0.5,0.6,0,9.8
29:15.1,0,14593,0,-0.5,0.6,-0.1,9.8
29:15.2,0,14592,0,-0.5,0.6,0,9.8
29:15.3,0,14593,0,-0.5,0.6,0,9.8
29:15.4,0,14593,0,-0.5,0.6,0.1,9.8
29:15.5,0,14593,0,-0.5,0.6,0,9.8
29:15.6,0,14592,0,-0.5,0.7,0,9.8
29:15.7,0,14592,0,-0.5,0.7,-0.1,9.8
29:15.8,0,14589,0,-0.5,0.7,0,9.8
29:15.9,0,14590,0,-0.5,0.7,0,9.8
29:16.0,0,14591,0,-0.5,0.7,0,9.8
29:16.1,0,14593,0,-0.5,0.7,0,9.8
29:16.2,0,14594,0,-0.5,0.7,0,9.8
29:16.3,0,14594,0,-0.5,0.7,0,9.8
29:16.4,0,14594,0,-0.5,0.7,0.1,9.8
29:16.5,0,14594,0,-0.5,0.7,-0.1,9.8
29:16.6,0,14593,0,-0.5,0.7,0.1,9.8
29:16.7,0,14592,0,-0.5,0.7,0,9.8
29:16.8,0,14590,0,-0.5,0.7,-0.1,9.8
29:16.9,0,14588,0,-0.5,0.7,0.1,9.8
29:17.0,0,14586,0,-0.5,0.7,0,9.8
29:17.1,0,14587,0,-0.5,0.7,-0.1,9.8
29:17.2,0,14587,0,-0.5,0.7,0,9.8
29:17.3,0,14587,0,-0.5,0.7,0,9.8
29:17.4,0,14587,0,-0.5,0.6,0,9.8
29:17.5,0,14587,0,-0.5,0.6,0,9.8
29:17.6,0,14588,0,-0.5,0.6,0,9.8
29:17.7,0,14591,0,-0.5,0.6,0,9.8
29:17.8,0,14591,0,-0.5,0.6,0.1,9.8
29:17.9,0,14592,0,-0.5,0.6,-0.1,9.8
29:18.0,0,14590,0,-0.5,0.6,0,9.8
29:18.1,0,14589,0,-0.5,0.6,0,9.8
29:18.2,0,14591,0,-0.5,0.7,0,9.8
29:18.3,0,14598,0,-0.5,0.6,0.1,9.8
29:18.4,0,14597,0,-0.5,0.6,-0.1,9.8
29:18.6,0,14594,0,-0.5,0.6,0,9.8
29:18.7,0,14591,0,-0.5,0.6,0,9.8
29:18.8,0,14590,0,-0.5,0.6,0,9.8
29:18.9,0,14589,0,-0.5,0.6,0,9.8
29:19.0,0,14584,0,-0.5,0.6,0,9.8
29:19.1,0,14581,0,-0.5,0.6,0,9.8
29:19.2,0,14579,0,-0.5,0.6,0,9.8
29:19.3,0,14582,0,-0.5,0.6,0,9.8
29:19.4,0,14584,0,-0.5,0.6,0,9.8
29:19.5,0,14584,0,-0.5,0.6,0,9.8
29:19.6,0,14587,0,-0.5,0.6,0,9.8
29:19.7,0,14586,0,-0.5,0.6,0,9.8
29:19.8,0,14584,0,-0.5,0.6,0,9.8
29:19.9,0,14581,0,-0.5,0.6,0,9.8
29:20.0,0,14587,0,-0.5,0.6,0,9.8
29:20.1,0,14580,0,-0.5,0.6,0.1,9.8
29:20.2,0,14589,0,-0.5,0.6,-0.1,9.8
29:20.3,0,14593,0,-0.5,0.6,0.1,9.8
29:20.4,0,14596,0,-0.5,0.6,-0.1,9.8
29:20.5,0,14599,0,-0.5,0.6,0,9.8
29:20.6,0,14603,0,-0.5,0.6,0,9.8
29:20.7,0,14601,0,-0.5,0.6,0,9.8
29:20.8,0,14603,0,-0.5,0.6,0,9.8
29:20.9,0,14600,0,-0.5,0.6,0,9.8
29:21.0,0,14597,0,-0.5,0.6,0,9.8
29:21.1,0,14585,0,-0.5,0.6,0,9.8
29:21.2,0,14586,0,-0.5,0.6,0,9.8
29:21.3,0,14583,0,-0.5,0.6,0,9.8
29:21.4,0,14583,0,-0.5,0.6,0,9.8
29:21.5,0,14582,0,-0.5,0.6,0,9.8
29:21.6,0,14582,0,-0.5,0.6,0,9.8
29:21.7,0,14585,0,-0.5,0.6,0,9.8
29:21.8,0,14588,0,-0.5,0.6,0.1,9.8
29:21.9,0,14590,0,-0.5,0.7,-0.1,9.8
29:22.0,0,14592,0,-0.5,0.6,0,9.8
29:22.1,0,14590,0,-0.5,0.6,0,9.8
29:22.2,0,14590,0,-0.5,0.6,0,9.8
29:22.3,0,14590,0,-0.5,0.6,0.1,9.8
29:22.4,0,14588,0,-0.5,0.6,-0.1,9.8
29:22.5,0,14588,0,-0.5,0.6,0,9.8
29:22.6,0,14587,0,-0.5,0.6,0.1,9.8
29:22.7,0,14585,0,-0.5,0.6,-0.1,9.8
29:22.8,0,14585,0,-0.5,0.6,0.1,9.8
29:22.9,0,14587,0,-0.5,0.6,0,9.8
29:23.0,0,14590,0,-0.5,0.6,-0.1,9.8
29:23.1,0,14588,0,-0.5,0.6,0,9.8
29:23.2,0,14587,0,-0.5,0.6,0,9.8
29:23.3,0,14590,0,-0.5,0.6,0,9.8
29:23.4,0,14591,0,-0.5,0.6,0,9.8
29:23.5,0,14591,0,-0.5,0.6,0,9.8
29:23.6,0,14590,0,-0.5,0.6,0.1,9.8
29:23.7,0,14590,0,-0.5,0.6,0,9.8
29:23.8,0,14591,0,-0.5,0.6,-0.1,9.8
29:23.9,0,14590,0,-0.5,0.6,0,9.8
29:24.0,0,14591,0,-0.5,0.6,0,9.8
29:24.1,0,14590,0,-0.5,0.6,0.1,9.8
29:24.2,0,14593,0,-0.5,0.7,-0.1,9.8
29:24.3,0,14593,0,-0.5,0.7,0.1,9.8
29:24.4,0,14591,0,-0.5,0.7,-0.1,9.8
29:24.6,0,14590,0,-0.5,0.7,0,9.8
29:24.7,0,14592,0,-0.5,0.7,0.1,9.8
29:24.8,0,14592,0,-0.5,0.7,-0.1,9.8
29:24.9,0,14594,0,-0.5,0.7,0,9.8
29:25.0,0,14592,0,-0.5,0.7,0,9.8
29:25.1,0,14586,0,-0.5,0.7,0.1,9.8
29:25.2,0,14578,0,-0.5,0.7,-0.1,9.8
29:25.3,0,14574,0,-0.5,0.7,0,9.8
29:25.4,0,14581,0,-0.5,0.7,0,9.8
29:25.5,0,14584,0,-0.5,0.7,0.1,9.8
29:25.6,0,14586,0,-0.5,0.7,-0.1,9.8
29:25.7,0,14586,0,-0.5,0.7,0,9.8
29:25.8,0,14581,0,-0.5,0.7,0,9.8
29:25.9,0,14582,0,-0.5,0.7,0,9.8
29:26.0,0,14582,0,-0.5,0.7,0,9.8
29:26.1,0,14582,0,-0.5,0.7,0,9.8
29:26.2,0,14582,0,-0.5,0.7,0,9.8
29:26.3,0,14582,0,-0.5,0.7,0,9.8
29:26.4,0,14582,0,-0.5,0.7,0,9.8
29:26.5,0,14579,0,-0.5,0.7,0,9.8
29:26.6,0,14581,0,-0.5,0.7,0.1,9.8
29:26.7,0,14583,0,-0.5,0.7,0,9.8
29:26.8,0,14584,0,-0.5,0.7,-0.1,9.8
29:26.9,0,14583,0,-0.5,0.7,0,9.8
29:27.0,0,14586,0,-0.5,0.7,0,9.8
29:27.1,0,14581,0,-0.5,0.7,0.1,9.8
29:27.2,0,14578,0,-0.5,0.7,-0.1,9.8
29:27.3,0,14578,0,-0.5,0.7,0,9.8
29:27.4,0,14575,0,-0.5,0.7,0,9.8
29:27.5,0,14576,0,-0.5,0.7,0,9.8
29:27.6,0,14578,0,-0.5,0.7,0.1,9.8
29:27.7,0,14579,0,-0.5,0.7,-0.1,9.8
